Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2017-08-25,1503633600000,161.47,11.32,1.23889,22.49759764473886,4.234671462771715,-4.234671462771715,-100.0,4.070335774467438,1.4996642255325554,36.843747263793524,7.0688749737885805,-7.0688749737885805,-100.0,2.0653693561334454,-1.3394693561334492,-64.85374406062918,2.28262355347222,-2.28262355347222,-100.0,6.957457794518831,3.45664220548116,49.682546521580676,4.347992909605665,-3.6220929096056693,-83.30494057622946
2017-08-28,1503892800000,162.91,11.7,1.23722,22.571219202508093,4.286028058478949,-4.286028058478949,-100.0,4.120450197065736,2.239549802934249,54.352065813805545,7.143755107923255,-7.143755107923255,-100.0,2.09584458235247,-0.6231445823524666,-29.732385101428715,2.3155214266792044,-2.3155214266792044,-100.0,7.032276229423601,4.215023770576393,59.93825659095131,4.411366009031674,-2.9386660090316994,-66.61578302537532
2017-08-29,1503979200000,163.35,11.22,1.23167,22.54669302073534,4.292659934656655,-4.292659934656655,-100.0,4.1273792565469885,3.2226207434530068,78.07910403050984,7.158557144443009,-7.158557144443009,-100.0,2.0977348866766192,0.35176511332338123,16.768806943029517,2.3173171551164278,-2.3173171551164278,-100.0,7.047578056663441,5.2029219433365475,73.82567318168572,4.4150520417930466,-1.965552041793046,-44.51934027474778
2017-08-30,1504065600000,164.0,10.59,1.23056,22.44745362088823,4.291074316889933,-4.291074316889933,-100.0,4.125285426848976,2.884714573151016,69.92763590068608,7.1706854928838055,-7.1706854928838055,-100.0,2.0898702695441003,0.00012973045590314314,0.0062075841641329975,2.309377917104591,-2.309377917104591,-100.0,7.058615360362411,4.871384639637569,69.01331764006841,4.399248186648691,-2.3092481866487162,-52.49188244612044
2017-08-31,1504152000000,164.05,10.13,1.23167,22.438526483734464,4.2907832768850085,-4.2907832768850085,-100.0,4.124794325284796,0.045205674715219864,1.0959497892564292,7.171507549452414,-6.420007549452452,-89.52103173819643,2.088998266400232,-2.088998266400232,-100.0,2.3085918162973087,-2.3085918162973087,-100.0,7.059123196149089,2.032376803850937,28.79078247224308,4.3975900826975405,-4.3975900826975405,-100.0
2017-09-01,1504238400000,162.08,12.23,1.23111,22.674894299043174,4.282987015337299,-4.282987015337299,-100.0,4.119065873442948,-2.5090658734429354,-60.913468017585146,7.123635258056496,-3.8712352580565295,-54.34353553795928,2.1022317504189942,-2.1022317504189942,-100.0,2.321144012481419,-2.321144012481419,-100.0,7.014705236330229,-0.5423052363302077,-7.7309768273872175,4.423375762900413,-4.423375762900413,-100.0
2017-09-05,1504584000000,161.91,11.63,1.23222,22.683535322902014,4.2801658374173845,-4.2801658374173845,-100.0,4.116269060941646,-1.9662690609416416,-47.768234579200055,7.1176603424497245,-4.410360342449749,-61.96362470609002,2.101380469268271,-2.101380469268271,-100.0,2.3202311188356504,-2.3202311188356504,-100.0,7.008717439065634,-0.0014174390656194193,-0.020223943652212417,4.4216115881039215,-4.4216115881039215,-100.0
2017-09-06,1504670400000,161.26,11.55,1.235,22.73221594028605,4.272132515834386,-4.272132515834386,-100.0,4.108525620778991,1.17147437922101,28.51325481083149,7.097186017305418,-7.097186017305418,-100.0,2.100687329101703,-1.6584873291016888,-78.94974688169765,2.3193057717252827,-2.3193057717252827,-100.0,6.988590669818237,3.129209330181752,44.77597097932677,4.419993100826986,-3.977793100827,-89.99545949704651
2017-09-07,1504756800000,158.63,12.12,1.23611,22.535396005903678,4.166861538683592,-4.166861538683592,-100.0,4.005778343477374,-1.6257783434773785,-40.58582887205032,6.950298355753957,-4.571398355753972,-65.77269236175218,2.035147656403929,-2.035147656403929,-100.0,2.2486626601498685,-2.2486626601498685,-100.0,6.841646969087449,0.2972530309125574,4.344758393054085,4.283810316553797,-4.283810316553797,-100.0
2017-09-08,1504843200000,161.5,10.73,1.23611,22.848939899813992,4.300098591010894,-4.300098591010894,-100.0,4.1361010115756764,1.193898988424337,28.865324736581154,7.126733386235813,-7.126733386235813,-100.0,2.1226557341837022,-1.6376557341836602,-77.1512642304874,2.3426752635091934,-2.3426752635091934,-100.0,7.018757756690931,3.15624224330908,44.96867327128162,4.465330997692895,-3.9803309976928816,-89.13854313934176
2017-09-11,1505102400000,160.86,10.58,1.23444,22.816425262472514,4.276974071199817,-4.276974071199817,-100.0,4.113846962109633,-0.3538469621096141,-8.601364255129141,7.093104226141065,-6.027304226141098,-84.97413874066524,2.109070930323604,-2.109070930323604,-100.0,2.327804200233324,-2.327804200233324,-100.0,6.985583277870417,1.6002167221295878,22.907417440701103,4.436875130556928,-4.436875130556928,-100.0
2017-09-12,1505188800000,159.65,10.5,1.23444,22.922120845170802,4.264079594757035,-4.264079594757035,-100.0,4.1021795390176266,-0.8621795390176175,-21.017596397647893,7.0566710163573845,-5.507171016357418,-78.042054158282,2.1101279622901643,-2.1101279622901643,-100.0,2.3280916945554684,-2.3280916945554684,-100.0,6.950834637143828,1.078665362856185,15.518501290363313,4.438219656845632,-4.438219656845632,-100.0
2017-09-13,1505275200000,158.28,10.44,1.23722,18.911459446161746,3.502418324223626,-3.502418324223626,-100.0,3.3415462850334023,-2.471546285033398,-73.96414935514478,6.374616829961141,-2.4962168299611704,-39.158696068268426,1.4701709519466275,-1.4701709519466275,-100.0,1.6515526891112486,-1.6515526891112486,-100.0,6.234254488745278,-0.6158544887452706,-9.878558693057442,3.1217236410578764,-3.1217236410578764,-100.00000000000001
2017-09-14,1505361600000,159.88,10.17,1.23611,18.858961914826665,3.52816112482482,-0.3581611248248038,-10.151495698558472,3.3658085985084085,-3.3658085985084085,-100.0,6.430977685591143,1.5354223144088484,23.87541038820615,1.4770957350642604,-1.4770957350642604,-100.0,1.6597329459584316,-1.6597329459584316,-100.0,6.288909843852537,-4.662509843852547,-74.13860207282492,3.136828681022692,-3.136828681022692,-100.0
2017-09-15,1505448000000,158.67,10.15,1.23722,18.96919552143129,3.5215149291092303,4.528485070890781,128.59479973967524,3.3602465031658677,-3.3602465031658677,-100.0,6.3990395928374255,6.41106040716258,100.18785341379368,1.4825092196723797,-1.4825092196723797,-100.0,1.6648756513425909,1.6250243486574265,97.60634960016216,6.258869172620919,-6.258869172620919,-100.0,3.1473848710149706,0.1425151289850466,4.528048993864809
2017-09-18,1505707200000,158.73,10.18,1.23556,18.43797837513257,3.4264004130617423,6.88359958693826,200.89886636416944,3.265287353176092,-3.265287353176092,-100.0,6.321431178991091,8.750468821008909,138.42543837368004,1.4032515109019954,-1.4032515109019954,-100.0,1.5805700239750706,3.9675299760249354,251.01893088208485,6.176523572292851,-6.176523572292851,-100.0,2.983821534877066,2.564278465122939,85.93940472477313
