Datetime,Timestamp,Price,VIX,5-Month-LIBOR,5-Month-VM,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,105-Straddles,105-Straddles-P,105-Straddles-ROI
2017-03-21,1490068800000,141.42,12.81,1.33978,17.135426060036973,3.6882071061821406,3.990792893817861,108.20414306801071,9.943870455908083,-9.943870455908083,-100.0,13.632077562090224,-5.953077562090222,-43.66962801506705
2017-03-22,1490155200000,140.92,13.12,1.336256667,17.14405564957872,3.6774073646308167,5.4565926353691685,148.38151160109425,9.91308411031217,-9.91308411031217,-100.0,13.590491474942986,-4.456491474942972,-32.791245873333416
2017-03-23,1490241600000,140.64,12.96,1.335166667,17.146377263945535,3.6706740210378896,5.06732597896211,138.04892371045565,9.894618701319004,-9.894618701319004,-100.0,13.565292722356894,-4.827292722356894,-35.585614119487865
2017-03-24,1490328000000,140.88,12.5,1.333516667,17.146002039659027,3.676484392101294,5.809515607898697,158.0182312314474,9.912047699443676,-9.912047699443676,-100.0,13.58853209154497,-4.10253209154498,-30.19113517123494
2017-03-27,1490587200000,143.8,11.53,1.334,17.27327241532811,3.7969995493173267,8.263000450682675,217.61921073096522,10.161508230663458,-10.161508230663458,-100.0,13.958507779980785,-1.8985077799807826,-13.601079785216095
2017-03-28,1490673600000,144.12,11.42,1.328853333,17.272561739069882,3.8041586996463077,11.589841300353667,304.66240279174565,10.186013588340813,-10.186013588340813,-100.0,13.990172287987122,1.4038277120128555,10.034384731761124
2017-03-29,1490760000000,143.93,11.54,1.32839,17.233810474773993,3.7855705918622387,14.127929408137732,373.2047538225345,10.159298183112313,-10.159298183112313,-100.0,13.944868774974552,3.968631225025419,28.459437582858584
2017-03-30,1490846400000,143.66,12.37,1.3319999999999999,17.222097608612962,3.775131822091197,12.271868177908773,325.07124932953707,10.1346772129521,-10.1346772129521,-100.0,13.909809035043297,2.1371909649567,15.36463196275683
2017-03-31,1490932800000,143.7,12.38,1.33413,17.19339370072359,3.766647702056943,13.45835229794308,357.30318740968414,10.126650269498212,-10.126650269498212,-100.0,13.893297971555155,3.3317020284448677,23.980641855275284
2017-04-03,1491192000000,144.77,11.79,1.333756667,17.20305023612248,3.79799567377848,16.693504326221493,439.5345798173005,10.205587197391113,-10.205587197391113,-100.0,14.003582871169593,6.4879171288303805,46.33040835704715
2017-04-04,1491278400000,144.02,12.89,1.33209,17.182082614931645,3.770688330076148,19.25831166992382,510.7372973871565,10.146114586525002,-10.146114586525002,-100.0,13.91680291660115,9.112197083398847,65.47622423055975
2017-04-05,1491364800000,143.66,12.39,1.335796667,17.191616981967545,3.7653187244928006,20.201681275507184,536.5198208613378,10.122523417488352,-10.122523417488352,-100.0,13.887842141981153,10.07915785801886,72.57540627964705
2017-04-06,1491451200000,143.34,12.87,1.338943333,17.19280478357687,3.7579759851128784,21.97502401488713,584.7569037678953,10.099084507536704,-10.099084507536704,-100.0,13.857060492649582,11.875939507350422,85.70316564360792
2017-04-07,1491537600000,143.17,14.05,1.338943333,17.170675856278727,3.745866196683132,21.805633803316873,582.1252724570141,10.079454219254774,-10.079454219254774,-100.0,13.825320415937906,11.726179584062098,84.81669307674125
2017-04-10,1491796800000,141.63,15.07,1.328663333,17.247379309085282,3.729775425460744,22.228724574539246,595.9802411372609,10.001484775742199,-10.001484775742199,-100.0,13.731260201202943,12.227239798797044,89.04674166560372
2017-04-11,1491883200000,141.8,15.77,1.32644,17.23849368817793,3.7307647239416175,21.349235276058366,572.2482347667992,10.011355077808346,-10.011355077808346,-100.0,13.742119801749965,11.33788019825002,82.5045943552771
2017-04-12,1491969600000,141.05,15.96,1.321626667,16.863325037246078,3.5824336642287453,19.655066335771238,548.6512292476109,9.832718790423458,-9.832718790423458,-100.0,13.415152454652203,9.82234754534778,73.21830727269533
2017-04-13,1492056000000,141.83,14.66,1.321626667,16.554686195154883,3.4969907149676227,16.66150928503238,476.4527744874679,9.781839629878602,-9.781839629878602,-100.0,13.278830344846225,6.879669655153778,51.80930455839368
2017-04-14,1492142400000,141.2,14.42,1.321626667,16.368430595341447,3.4183753868450992,19.421624613154908,568.1536524015166,9.675307395485248,-9.675307395485248,-100.0,13.093682782330347,9.746317217669656,74.43526301723232
2017-04-17,1492401600000,140.68,14.93,1.317186667,16.14012697745166,3.3280576770279,19.10794232297208,574.1469703144177,9.56462785966724,-9.56462785966724,-100.0,12.89268553669514,9.543314463304839,74.0211528167865
2017-04-18,1492488000000,142.44,14.15,1.31237,15.618686792565795,3.1917310811920743,17.226268918807904,539.7155487289391,9.509269443732206,-9.509269443732206,-100.0,12.70100052492428,7.716999475075697,60.75898871062919
2017-04-19,1492574400000,142.27,14.63,1.313763333,15.060576821011225,3.0001505899581464,20.75634941004181,691.8435854358689,9.309298294873813,-9.309298294873813,-100.0,12.309448884831959,11.447051115168001,92.99401802848682
2017-04-20,1492660800000,143.64,10.84,1.320146667,15.069724698915346,3.0333595173089307,21.104640482691075,695.7513727688378,9.399326509346508,-9.399326509346508,-100.0,12.432686026655439,11.705313973344566,94.14951803856864
2017-04-21,1492747200000,144.53,10.76,1.33598,14.982604003379528,3.0254848089651962,20.188015191034783,667.2654620910055,9.42107480319585,-9.42107480319585,-100.0,12.446559612161046,10.766940387838936,86.50535347389474
2017-04-24,1493006400000,143.68,10.85,1.339203333,15.012616926605729,3.018477333802217,20.207522666197786,669.4608052843463,9.374466543417938,-9.374466543417938,-100.0,12.392943877220155,10.833056122779844,87.41309756669206
2017-04-25,1493092800000,143.79,10.36,1.3446666669999998,15.01126321427436,3.0213717434698357,19.06912825653016,631.1414111072141,9.378855878341582,-9.378855878341582,-100.0,12.400227621811418,9.690272378188574,78.14592339534026
2017-04-26,1493179200000,143.65,10.82,1.34348,14.98016932883593,3.0076673353710106,15.639832664628965,519.9987538748104,9.359693071081054,-9.359693071081054,-100.0,12.367360406452065,6.280139593547915,50.77995131662501
2017-04-27,1493265600000,146.58,10.11,1.3416299999999999,14.982898033631557,3.0695978034699176,14.871402196530054,484.4739652771189,9.552348215385608,-9.552348215385608,-100.0,12.621946018855526,5.319053981144448,42.141314605517096
2017-04-28,1493352000000,147.51,10.59,1.3416299999999999,14.994574995407579,3.0931359903712377,13.071364009628766,422.59260667229637,9.617017237892613,-9.617017237892613,-100.0,12.71015322826385,3.4543467717361533,27.177853088778235
2017-05-01,1493611200000,147.06,10.68,1.3419999999999999,15.00768160706725,3.0883190414513706,12.298680958548632,398.2322031330288,9.592064770528653,-9.592064770528653,-100.0,12.680383811980024,2.706616188019977,21.344907442492804
2017-05-02,1493697600000,146.53,10.46,1.3504266669999998,15.004291411383985,3.077655781451241,12.705844218548734,412.84162755060953,9.55266352210174,-9.55266352210174,-100.0,12.630319303552982,3.1531806964469933,24.96517008528823
2017-05-03,1493784000000,148.96,10.57,1.348576667,14.954010749624345,3.110663269095632,9.491336730904344,305.12260279666265,9.694232725903477,-9.694232725903477,-100.0,12.804895994999109,-0.20289599499913358,-1.5845188830770172
2017-05-04,1493870400000,153.01,9.77,1.35274,15.281394931005346,3.314454413767585,5.345045586232395,161.2647186828136,10.074287675361743,-10.074287675361743,-100.0,13.388742089129329,-4.72924208912932,-35.32252737147813
2017-05-05,1493956800000,153.99,9.96,1.3574466669999998,15.266518087146958,3.3312284254242637,4.349271574575731,130.56059264449294,10.131247029931032,-10.131247029931032,-100.0,13.462475455355296,-5.781975455355301,-42.94882820421607
2017-05-08,1494216000000,153.26,10.21,1.355053333,15.289546627340169,3.3233031983006853,8.4236968016993,253.47361643098392,10.092659835208806,-10.092659835208806,-100.0,13.415963033509492,-1.668963033509506,-12.440128445053718
2017-05-09,1494302400000,153.95,10.6,1.35348,15.291437179765598,3.338630171590012,6.713869828409969,201.0965420950626,10.139502861093234,-10.139502861093234,-100.0,13.478133032683246,-3.4256330326832654,-25.41622808126628
2017-05-10,1494388800000,156.1,10.4,1.3508933330000001,15.352502800754184,3.4072990586992304,4.957700941300779,145.5023716994606,10.304882511484976,-10.304882511484976,-100.0,13.712181570184207,-5.347181570184198,-38.995848638783485
