Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,95-Calls,95-Calls-P,95-Calls-ROI,95-Puts,95-Puts-P,95-Puts-ROI,100-Bear-Spreads,100-Bear-Spreads-P,100-Bear-Spreads-ROI
2014-05-16,1400212800000,445.0133,13.17,0.121,30.917077649233626,7.605729315262464,66.42017068473757,873.291277293445,7.595402688091043,-7.595402688091043,-100.0,23.30528509175355,72.97127990824644,313.11043662824346,1.0448097959407503,-1.0448097959407503,-100.0,6.550592892150292,-6.550592892150292,-100.0
2014-05-17,1400299200000,446.3583,12.44,0.119,29.808012419108323,7.355198660550599,71.9197013394494,977.8077338031494,7.345012024354758,-7.345012024354758,-100.0,23.249038779858154,78.3437762201418,336.97640991512776,0.921446475472095,-0.921446475472095,-100.0,6.423565548882663,-6.423565548882663,-100.0
2014-05-18,1400385600000,444.809,12.42,0.119,8.831714344413447,2.175398408499774,123.11060159150023,5659.220909166764,2.165247129897722,-2.165247129897722,-100.0,22.25010934940127,125.27634065059868,563.0369661709988,1.5634729280043086e-05,-1.5634729280043086e-05,-100.0,2.1652314951684417,-2.1652314951684417,-100.0
2014-05-19,1400472000000,444.3128,12.42,0.1178,9.087874370769436,2.23579874336744,135.27810125663254,6050.54912290021,2.2257610393586447,-2.2257610393586447,-100.0,22.225203371581532,137.5043366284184,618.6865169667677,2.7552773266542943e-05,-2.7552773266542943e-05,-100.0,2.225733486585378,-2.225733486585378,-100.0
2014-05-20,1400558400000,485.8305,12.96,0.11635,63.17825382305113,16.957450344326105,66.84524965567391,394.1939872938508,16.946609789910667,-16.946609789910667,-100.0,31.440708724924658,76.65351627507533,243.80339815402493,7.1388851982299295,-7.1388851982299295,-100.0,9.807724591680739,-9.807724591680739,-100.0
2014-05-21,1400644800000,489.1625,11.91,0.1183,63.36564414572614,17.124432012238177,68.16776798776179,398.07316201229287,17.113334180151156,-17.113334180151156,-100.0,31.69800388539693,78.05232111460305,246.2373384671117,7.229335944914311,-7.229335944914311,-100.0,9.883998235236845,-9.883998235236845,-100.0
2014-05-22,1400731200000,526.0577,12.03,0.1183,75.07548831199331,21.81536742917421,17.63273257082585,80.82711706815066,21.80343254041506,-21.80343254041506,-100.0,36.95710697293032,28.79387802706969,77.91161263829477,10.642883828609172,-10.642883828609172,-100.0,11.160548711805887,-11.160548711805887,-99.99999999999999
2014-05-23,1400817600000,519.0392,12.03,0.1205,78.51932738986935,22.51055376222334,74.92024623777664,332.82275962267073,22.49855911821129,-22.49855911821129,-100.0,37.31967473462828,86.06308526537168,230.61049132219588,11.356319822816884,-11.356319822816884,-100.0,11.142239295394406,-11.142239295394406,-100.0
2014-05-24,1400904000000,525.6332,11.36,0.1203,77.40641081307035,22.473807870812927,75.14969212918713,334.3878908335119,22.46168100473946,-22.46168100473946,-100.0,37.512833213852154,86.39232678614786,230.30072480434842,11.219652691082304,-11.219652691082304,-100.0,11.242028313657157,-11.242028313657157,-100.0
2014-05-25,1400990400000,570.095,11.51,0.1203,83.46364172397728,26.27962768379609,32.64957231620383,124.23909771117279,26.26647504101368,-26.26647504101368,-100.0,42.35537204230445,45.078577957695416,106.42942272510565,13.83812703166126,-13.83812703166126,-100.0,12.42834800935242,-12.42834800935242,-100.0
2014-05-26,1401076800000,581.8267,11.51,0.1203,79.06316444248827,25.40816719161984,51.551132808380366,202.89197729060538,25.39474388717701,-25.39474388717701,-100.0,41.98649306121439,64.0641419387859,152.5827409433393,12.882405921993636,-12.882405921993636,-100.0,12.512337965183375,-12.512337965183375,-100.0
2014-05-27,1401163200000,569.6332,11.68,0.11925,76.07433166458091,23.936383235606453,72.16041676439356,301.4675026469817,23.92335595132113,-23.92335595132113,-100.0,40.28978802721213,84.28867197278781,209.2060447571936,11.795752107141139,-11.795752107141139,-100.0,12.127603844179992,-12.127603844179992,-100.0
2014-05-28,1401249600000,574.4547,11.57,0.1202,75.88018394284131,24.077505051187984,38.25149494881197,158.86818367389205,24.064262842597323,-24.064262842597323,-100.0,40.577627970230594,50.4741070297693,124.38900338580451,11.842312872069499,-11.842312872069499,-100.0,12.221949970527824,-12.221949970527824,-100.0
2014-05-29,1401336000000,565.5058,11.57,0.1202,66.94572339263428,20.914496826461686,69.63950317353829,332.9724054629331,20.901460906026443,-20.901460906026443,-100.0,37.571578850361156,81.25771114963874,216.27441176552432,9.283904725947707,-9.283904725947707,-100.0,11.617556180078736,-11.617556180078736,-100.0
