DATE,USD1WKD156N
2016-02-22,0.3923
2016-02-23,0.3907
2016-02-24,0.3951
2016-02-25,0.39405
2016-02-26,0.39745
2016-02-29,0.3973
2016-03-01,0.39275
2016-03-02,0.3964
2016-03-03,0.3989
2016-03-04,0.3979
2016-03-07,0.3991
2016-03-08,0.3974
2016-03-09,0.39485
2016-03-10,0.3971
2016-03-11,0.3982
2016-03-14,0.4018
2016-03-15,0.402
2016-03-16,0.3994
2016-03-17,0.39765
2016-03-18,0.3987
2016-03-21,0.4017
2016-03-22,0.39725
2016-03-23,0.39405
2016-03-24,0.39355
2016-03-25,.
2016-03-28,.
2016-03-29,0.3925
2016-03-30,0.39685
2016-03-31,0.3961
2016-04-01,0.3961
2016-04-04,0.396
2016-04-05,0.3958
2016-04-06,0.3935
2016-04-07,0.39625
2016-04-08,0.395
2016-04-11,0.39525
2016-04-12,0.397
2016-04-13,0.39725
2016-04-14,0.3975
2016-04-15,0.4015
2016-04-18,0.4011
2016-04-19,0.4021
2016-04-20,0.399
2016-04-21,0.399
2016-04-22,0.399
2016-04-25,0.3994
2016-04-26,0.4003
2016-04-27,0.401
2016-04-28,0.404
2016-04-29,0.4055
2016-05-02,.
2016-05-03,0.405
2016-05-04,0.4032
2016-05-05,0.4068
2016-05-06,.
2016-05-09,0.40415
2016-05-10,0.40415
2016-05-11,0.4034
2016-05-12,0.4049
2016-05-13,0.4058
2016-05-16,0.4045
2016-05-17,0.4055
2016-05-18,0.4035
2016-05-19,0.407
2016-05-20,0.4061
2016-05-23,0.4046
2016-05-24,0.4059
2016-05-25,0.4055
2016-05-26,0.4061
2016-05-27,0.407
2016-05-30,.
2016-05-31,0.40820
2016-06-01,0.4083
2016-06-02,0.408
2016-06-03,0.40915
2016-06-06,0.40775
2016-06-07,0.408
2016-06-08,0.408
2016-06-09,0.41075
2016-06-10,0.41185
2016-06-13,0.41075
2016-06-14,0.4104
2016-06-15,0.40995
2016-06-16,0.4075
2016-06-17,0.4102
2016-06-20,0.4121
2016-06-21,0.41545
2016-06-22,0.41165
2016-06-23,0.4162
2016-06-24,0.42095
2016-06-27,0.43195
2016-06-28,0.43645
2016-06-29,0.4404
2016-06-30,0.4402
2016-07-01,0.43645
2016-07-04,0.4362
2016-07-05,0.43545
2016-07-06,0.4383
2016-07-07,0.4378
2016-07-08,0.4358
2016-07-11,0.4368
2016-07-12,0.4368
2016-07-13,0.4358
2016-07-14,0.43655
2016-07-15,0.4378
2016-07-18,0.4385
2016-07-19,0.439
2016-07-20,0.4386
2016-07-21,0.4371
2016-07-22,0.4366
2016-07-25,0.4391
2016-07-26,0.4391
2016-07-27,0.4386
2016-07-28,0.4461
2016-07-29,0.4456
2016-08-01,0.4461
2016-08-02,0.4441
2016-08-03,0.4441
2016-08-04,0.4431
2016-08-05,0.44235
2016-08-08,0.4431
2016-08-09,0.44245
2016-08-10,0.4437
2016-08-11,0.44345
2016-08-12,0.4427
2016-08-15,0.44078
2016-08-16,0.44133
2016-08-17,0.44078
2016-08-18,0.44106
2016-08-19,0.44272
2016-08-22,0.44467
2016-08-23,0.44356
2016-08-24,0.443
2016-08-25,0.44217
2016-08-26,0.44244
2016-08-29,.
2016-08-30,0.44383
2016-08-31,0.44356
2016-09-01,0.443
2016-09-02,0.443
2016-09-05,0.44328
2016-09-06,0.443
