Datetime,Timestamp,Price,VIX,6-Month-LIBOR,6-Month-VM,107-Calls,107-Calls-P,107-Calls-ROI,107-Puts,107-Puts-P,107-Puts-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,109-Calls,109-Calls-P,109-Calls-ROI,109-Puts,109-Puts-P,109-Puts-ROI,107-Butterfly-Spreads,107-Butterfly-Spreads-P,107-Butterfly-Spreads-ROI
2014-04-06,1396756800000,460.7028,15.57,0.3275,145.7052190867276,170.94688807488484,-170.94688807488484,-100.0,202.40057541091926,-66.00517941091928,-32.611161938108985,173.57209321960877,-173.57209321960877,-100.0,195.82659387646493,-68.64525387646492,-35.05410195704523,168.37847627375103,-168.37847627375103,-100.0,209.0313502889637,-63.42189828896372,-30.34085470973118,0.05679334359012955,-0.05679334359012955,-100.0
2014-04-07,1396843200000,446.2195,14.89,0.3265,145.81036973354074,165.6910363921432,-165.6910363921432,-100.0,196.15825223335773,-44.1954872333578,-22.530526618263842,168.23271322736034,-168.23271322736034,-100.0,189.78989699677658,-46.75152199677663,-24.633303846289905,163.20431769593938,-163.20431769593938,-100.0,202.58156560895233,-41.69441060895235,-20.581542295628218,0.054958139013365326,-0.054958139013365326,-100.0
2014-04-08,1396929600000,450.4638,14.89,0.3265,145.80606409738968,167.26212150344628,-167.26212150344628,-100.0,198.01913195066726,-35.66346595066729,-18.010111244984238,169.82801516902796,-169.82801516902796,-100.0,191.5902441125625,-38.24385411256256,-19.961274275580358,164.7517107823629,-164.7517107823629,-100.0,204.50350273327027,-33.138560733270246,-16.20439762173277,0.05548294449829427,-0.05548294449829427,-100.0
2014-04-09,1397016000000,440.1983,13.82,0.3265,145.8642652657953,163.51536480038038,-163.51536480038038,-100.0,193.57146189841347,-51.01868089841349,-26.35650957948965,166.02224080929355,-166.02224080929355,-100.0,187.28853609241008,-53.539721092410076,-28.586758276541296,161.06268013592032,-161.06268013592032,-100.0,199.90857904886985,-48.5518320488699,-24.28701773574253,0.05419134445310192,-0.05419134445310192,-100.0
2014-04-10,1397102400000,360.8407,15.89,0.3265,148.77773869418834,136.69484833333087,-136.69484833333087,-100.0,161.3325243900585,-109.32407539005844,-67.76319641893308,138.72746758296788,-138.72746758296788,-100.0,156.1599403489156,-111.36830534891556,-71.31682113868642,134.70555474827995,-134.70555474827995,-100.0,166.54843409578757,-107.3231710957875,-64.43961582614604,0.043325664586063795,-0.043325664586063795,-100.0
2014-04-11,1397188800000,420.0563,15.89,0.324,150.18772006227024,160.61691612565716,-160.61691612565716,-100.0,189.30327928694211,-92.63193828694209,-48.93308696809866,162.9705226244443,-162.9705226244443,-100.0,183.26917245561174,-94.99895745561173,-51.83575403474947,158.3131442256107,-158.3131442256107,-100.0,195.38722071701298,-90.31475371701302,-46.2234701868345,0.04983459874068785,-0.04983459874068785,-100.0
2014-04-12,1397275200000,420.66,17.03,0.322,150.17715510909494,160.83534582920294,-160.83534582920294,-100.0,189.56736903383597,-103.23626903383592,-54.458881589166964,163.19242598620087,-163.19242598620087,-100.0,183.52459828981273,-105.6066982898127,-57.54362045955494,158.52817658291337,-158.52817658291337,-100.0,195.6600506885675,-100.9157506885675,-51.577085017316755,0.04991091070837683,-0.04991091070837683,-100.0
2014-04-13,1397361600000,414.9495,16.11,0.322,150.12073298889794,158.59310842815603,-158.59310842815603,-100.0,186.9350916515451,-101.62502665154508,-54.3638039031101,160.91868779851205,-160.91868779851205,-100.0,180.9748489055761,-103.96377390557608,-57.44653167790147,156.31678599824437,-156.31678599824437,-100.0,192.94459133795846,-99.3355363379585,-51.483970423386495,0.04925694044436568,-0.04925694044436568,-100.0
2014-04-14,1397448000000,457.6338,16.11,0.3227,150.67285323866733,175.54263027344035,-175.54263027344035,-100.0,206.79835942022984,-76.33309342022986,-36.91184670624745,178.10207334972145,-178.10207334972145,-100.0,200.21968045638408,-78.90709045638408,-39.410256912068746,173.03725727262108,-173.03725727262108,-100.0,213.43110845953743,-73.81316645953746,-34.58407117514037,0.05407007546182285,-0.05407007546182285,-100.0
2014-04-15,1397534400000,520.1233,15.61,0.3209,151.596636387543,200.71769272730597,-200.71769272730597,-100.0,236.24629702474,-55.90346602474007,-23.663213658280434,203.6164298917464,-203.6164298917464,-100.0,228.75901728642467,-58.81865228642467,-25.71205847277225,197.87993103641628,-197.87993103641628,-100.0,243.79455223660614,-53.04925523660614,-21.75981979495632,0.060975473550740844,-0.060975473550740844,-100.0
