Datetime,Timestamp,Price,VIX,9-Month-LIBOR,9-Month-VM,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,97-Strips,97-Strips-P,97-Strips-ROI
2013-12-06,1386306000000,80.9185,13.49,0.455551351,30.54445036244861,9.72987022832973,18.029184771670273,185.297278880206,7.038259099369255,-7.038259099369255,-100.0,23.806388427068242,3.9526665729317614,16.60338604085581
2013-12-09,1386565200000,80.7928,13.91,0.455935135,30.525246784958128,9.709719915199608,18.181264084800397,187.24807969320958,7.022068238016317,-7.022068238016317,-100.0,23.75385639123224,4.137127608767763,17.416656649885336
2013-12-10,1386651600000,80.1943,15.42,0.4570621620000001,30.463804553401356,9.621770426452393,20.33975857354761,211.393097860962,6.9533821089582775,-6.9533821089582775,-100.0,23.528534644368946,6.4329943556310525,27.341245227826597
2013-12-11,1386738000000,80.0771,15.54,0.45982162200000004,30.46217140793581,9.608063842856373,24.607149157143613,256.1093427313049,6.941995078353834,-6.941995078353834,-100.0,23.492053999564042,10.723159000435963,45.64589797314002
2013-12-12,1386824400000,79.2043,15.76,0.459335135,29.72812187355414,9.310355467525085,25.87147353247491,277.87847223143854,6.673621048798998,-6.673621048798998,-100.0,22.657597565123083,12.524231434876924,55.27607858193896
2013-12-13,1386910800000,79.6428,16.03,0.461105405,29.72162334830145,9.360689795762873,22.635794204237122,241.81758714494785,6.708349375137317,-6.708349375137317,-100.0,22.777388546037507,9.219095453962503,40.47476924463455
2013-12-16,1387170000000,79.2843,16.21,0.459375676,29.72445924659445,9.318807690343485,23.9954213096565,257.49454336869195,6.679387062897074,-6.679387062897074,-100.0,22.677581816137632,10.636647183862365,46.903798077329405
2013-12-17,1387256400000,78.6814,13.8,0.461105405,29.685759645213736,9.238333560347877,24.240708439652124,262.3926521087784,6.618010598681433,-6.618010598681433,-100.0,22.474354757710742,11.004687242289265,48.965531428721704
2013-12-18,1387342800000,77.78,14.15,0.464091892,29.551275249298854,9.098635662744877,22.274764337255114,244.81433440027715,6.5066709238483895,-6.5066709238483895,-100.0,22.111977510441655,9.261422489558335,41.884189169353725
2013-12-19,1387429200000,78.4314,13.79,0.463335135,29.55330438866545,9.175150452193677,20.73639154780632,226.0060110823412,6.5619026819479815,-6.5619026819479815,-100.0,22.298955816089638,7.612586183910359,34.13875630184243
2013-12-20,1387515600000,81.4414,13.04,0.463335135,29.777704065831053,9.587886069262446,20.13395593073755,209.99369188672853,6.8743484178155985,-6.8743484178155985,-100.0,23.336582904893643,6.385259095106353,27.361585546302816
