Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,100-Bull-Spreads,100-Bull-Spreads-P,100-Bull-Spreads-ROI
2015-05-04,1430712000000,232.94999700000002,14.31,0.139833333,28.894844123661517,3.1449599575485645,8.645048042451434,274.88579057108507,3.140497784600413,-3.140497784600413,-100.0,,,,0.26956860950103234,-0.12706045950103473,-47.13473862413797,11.912383177905467,-11.912383177905467,-100.0,2.875391348047532,2.124608651952468,73.88937347241912
2015-05-05,1430798400000,230.42999300000002,15.15,0.139,29.47076332485794,3.1728812190054327,9.577118780994567,301.84296605961816,3.1684936211851493,-3.1684936211851493,-100.0,,,,0.28955507439689754,0.9389452756030928,324.27173917044405,11.806447746685619,-11.806447746685619,-100.0,2.883326144608535,2.116673855391465,73.41083697206382
2015-05-06,1430884800000,236.80000299999998,15.13,0.139,24.156790548681197,2.6731141230723665,4.626888876927637,173.0898369430514,2.668605234435645,-2.668605234435645,-100.0,,,,0.11801297079559706,-0.11801297079559706,-100.0,11.953278787727015,-7.41328163772701,-62.01881315893485,2.5551011522767695,2.4448988477232305,95.68696900882608
2015-05-07,1430971200000,236.61000099999998,12.86,0.140333333,24.33616570950211,2.6908057531589407,9.539189246841062,354.5105117915808,2.6862572667331364,-2.6862572667331364,-100.0,,,,0.1225570686241575,0.27693788137583303,225.9664697310206,11.948281207877102,-11.948281207877102,-100.0,2.568248684534783,2.431751315465217,94.68519657416698
2015-05-08,1431057600000,239.49000499999997,13.85,0.137866667,22.834837938498826,2.5556508260598894,6.704344173940115,262.33412270471905,2.5511278977054275,-2.5511278977054275,-100.0,,,,0.0879236063409703,-0.0879236063409703,-100.0,12.057674781568807,-9.343169531568805,-77.48732405563503,2.467727219718919,2.532272780281081,102.6155873326029
2015-05-11,1431316800000,244.74000499999997,13.86,0.14,24.994240615799278,2.8584506198425004,-0.458456619842508,-16.03864053694126,2.8537570209182377,-2.8537570209182377,-100.0,,,,0.14526029563005596,-0.14526029563005596,-100.0,12.377332266759597,-2.540326016759593,-20.524018924351413,2.7131903242124444,2.2868096757875556,84.28489720680932
2015-05-12,1431403200000,243.17999300000002,13.76,0.14,22.75179232692177,2.5856340121332693,-1.4156210121332578,-54.74947364902986,2.580970330960469,-2.580970330960469,-100.0,,,,0.08746400669262933,-0.08746400669262933,-100.0,12.241566791461224,-1.252580141461209,-10.232188107938214,2.49817000544064,2.50182999455936,100.14650680741299
2015-05-13,1431489600000,244.100006,12.74,0.139833333,17.53440152281405,2.0007993552042365,-0.4808103552042553,-24.03091314247127,1.9961236030795388,-1.9961236030795388,-100.0,,,,0.014986511522172563,-0.014986511522172563,-100.0,12.215077271791243,-1.530065971791231,-12.526044148117444,1.985812843682064,3.014187156317936,151.7860641252111
2015-05-14,1431576000000,248.83999599999999,12.38,0.140166667,18.335841454102745,2.1327702336013057,-2.1327702336013057,-100.0,2.12799232428587,-1.0179923242858564,-47.83815771645149,,,,0.021703052756119945,-0.021703052756119945,-100.0,12.458686047974908,1.0933137520250966,8.775514109714715,2.1110671808451857,2.8889328191548143,136.8470338304536
2015-05-15,1431662400000,248.75,12.73,0.138166667,19.56407291774289,2.2746115321277216,-2.2746115321277216,-100.0,2.269903500186828,-0.9799105001868184,-43.169698628429146,,,,0.03474205000019115,-0.03474205000019115,-100.0,12.467298616462244,1.2601943835377654,10.107998711715801,2.2398694821275305,2.7601305178724695,123.2272924782551
