Datetime,Price,Timestamp,VIX,10-Month-LIBOR,10-Month-VM,96-Calls,96-Calls-P,96-Calls-ROI,96-Puts,96-Puts-P,96-Puts-ROI,94-Calls,94-Calls-P,94-Calls-ROI,94-Puts,94-Puts-P,94-Puts-ROI,98-Calls,98-Calls-P,98-Calls-ROI,98-Puts,98-Puts-P,98-Puts-ROI,96-Butterfly-Spreads,96-Butterfly-Spreads-P,96-Butterfly-Spreads-ROI
2016-03-10,102.26,1457586000000,16.5,1.1019054054054054,27.802291136781932,12.688074671584479,41.68232532841551,328.5157630870898,7.712590529268539,-7.712590529268539,-100.0,13.792986063656347,42.62261393634364,309.0165808885398,6.790741174305309,-6.790741174305309,-100.0,11.649786742064126,40.675413257935865,349.1515695396237,8.701063346783242,-8.701063346783242,-100.0,0.06662346255151519,-0.06662346255151519,-100.0
2016-03-11,102.52,1457672400000,16.92,1.1124189189189189,27.68084401995394,12.682066947772,41.958733052228006,330.85090328749106,7.68550484250666,-7.68550484250666,-100.0,13.791257970336867,42.89994202966314,311.06619948618993,6.762957575597889,-6.762957575597889,-100.0,11.639947044394937,40.950452955605066,351.80961562298705,8.67512322860324,-8.67512322860324,-100.0,0.06707111918780129,-0.06707111918780129,-100.0
2016-03-14,104.58,1457928000000,16.84,1.1184864864864863,27.74154890017117,12.961304463128414,40.63189553687161,313.4861591474757,7.859382099300866,-7.859382099300866,-100.0,14.092230899494885,41.592569100505116,295.14538469559096,6.91784858491377,-6.91784858491377,-100.0,11.898646482791454,39.60295351720856,332.8357857718082,8.86918406971752,-8.86918406971752,-100.0,0.06826845602951082,-0.06826845602951082,-100.0
2016-03-15,105.97,1458014400000,14.99,1.1229162162162163,27.738565233656587,13.134433747033293,38.934366252966726,296.42972816975026,7.961030461504053,-7.961030461504053,-100.0,14.280503131396024,39.90769686860399,279.4558181977914,7.007170747648642,-7.007170747648642,-100.0,12.057544191499927,37.89185580850008,314.2584858632513,8.98407000418883,-8.98407000418883,-100.0,0.06917982882936613,-0.06917982882936613,-100.0
2016-03-16,105.8,1458100800000,14.44,1.129702702702703,27.5207042609482,13.037263677673993,38.73473632232603,297.1078692583196,7.866546516912122,-7.866546516912122,-100.0,14.184018684660304,39.703981315339696,279.9205373176689,6.916858131414307,-6.916858131414307,-100.0,11.960105202945455,37.69589479705455,315.18029446572973,8.885831434667724,-8.885831434667724,-100.0,0.06959653225777274,-0.06959653225777274,-100.0
2016-03-17,105.92,1458187200000,14.02,1.0919108108108109,27.52072860703149,13.035469547367446,39.151330452632564,300.3446121397237,7.89018528782475,-7.89018528782475,-100.0,14.18284635638114,40.12235364361886,282.89352246678624,6.938088852245585,-6.938088852245585,-100.0,11.95779637147742,38.11060362852259,318.70925415176566,8.91198535652758,-8.91198535652758,-100.0,0.06970363312366601,-0.06970363312366601,-100.0
2016-03-18,105.91,1458273600000,13.79,1.0989297297297296,27.426357242296525,13.00302576185004,38.933374238149966,299.41780437271575,7.852414322044075,-7.852414322044075,-100.0,14.15146769242692,39.9031323075731,281.97168784780564,6.901702324283576,-6.901702324283576,-100.0,11.924509240910687,37.893690759089324,317.77987666849555,8.873051729442118,-8.873051729442118,-100.0,0.06992540963752703,-0.06992540963752703,-100.0
2016-03-21,106.72,1458532800000,14.17,1.1027986486486483,27.4232307139077,13.103040588336144,38.11575941166386,290.89247762533176,7.909808721776764,-7.909808721776764,-100.0,14.260371192793627,39.09282880720636,274.1361236582792,6.951998323454234,-6.951998323454234,-100.0,12.016175075659447,37.06822492434054,308.48605892425576,8.938084211880089,-8.938084211880089,-100.0,0.07046509178078608,-0.07046509178078608,-100.0
2016-03-22,106.13,1458619200000,14.94,1.1121432432432432,27.425654988183354,13.035596821284294,37.83960317871571,290.2790236418778,7.863321318720863,-7.863321318720863,-100.0,14.186671017496176,38.81112898250383,273.57460347560567,6.911109587902828,-6.911109587902828,-100.0,11.954585075081432,36.79801492491857,307.8150742481366,8.885595499547945,-8.885595499547945,-100.0,0.07006245000901856,-0.07006245000901856,-100.0
2016-03-23,105.67,1458705600000,14.74,1.1234567567567568,27.31252247660734,12.94305315232225,38.793746847677774,299.72639678696964,7.783849169005156,-7.783849169005156,-100.0,14.090603063641698,39.7595969363583,282.17100969191927,6.8374241633103825,-6.8374241633103825,-100.0,11.865534729505987,37.757865270494015,318.2146117410254,8.800305663203119,-8.800305663203119,-100.0,0.07003148850318297,-0.07003148850318297,-100.0
2016-03-24,105.19,1458792000000,15.24,1.1186297297297296,27.30636260245777,12.879929031913598,41.58767096808641,322.8874232539745,7.7481300907764625,-7.7481300907764625,-100.0,14.022247871577234,42.549152128422755,303.440307988485,6.805903075047157,-6.805903075047157,-100.0,11.807342516095623,40.55645748390437,343.4850596450329,8.760089430351485,-8.760089430351485,-100.0,0.0697323238456633,-0.0697323238456633,-100.0
2016-03-25,107.68,1458878400000,13.82,1.1186297297297296,27.291003279114452,13.179143121831295,37.378056878168714,283.61522849123503,7.925867050135857,-7.925867050135857,-100.0,14.348677309204199,38.36212269079578,267.3565086461856,6.961511155669067,-6.961511155669067,-100.0,12.081031018889362,36.32256898111064,300.6578571341989,8.961645029033582,-8.961645029033582,-100.0,0.07142208443097076,-0.07142208443097076,-100.0
