Datetime,Timestamp,Price,VIX,5-Day-LIBOR,5-Day-VM,5-Day-VNM
2017-02-24,1487912400000,136.93,12.09,0.7049966670000001,0.06624447618142125,0.07473286276582504
2017-02-27,1488171600000,136.99,12.92,0.7049966670000001,0.06584805027699013,0.07310520963833513
2017-02-28,1488258000000,139.79,12.54,0.703703333,0.04456677344193062,0.04520709552586979
2017-03-01,1488344400000,138.96,11.81,0.7025899999999999,0.15124195029290147,0.16634478288115553
2017-03-02,1488430800000,139.78,10.96,0.701666667,0.15750054320325296,0.16967670098990745
2017-03-03,1488517200000,139.34,11.24,0.702223333,0.15628566849887915,0.1759196203208242
2017-03-06,1488776400000,139.52,11.45,0.7009266670000001,0.16564476368190972,0.17701565940852326
2017-03-07,1488862800000,139.0,11.86,0.701296667,0.16474925720508793,0.1772820455157941
2017-03-08,1488949200000,138.68,12.3,0.70204,0.07555956087591163,0.07823279704871004
2017-03-09,1489035600000,139.14,11.66,0.7009266670000001,0.06433173364282906,0.06473519993263462
2017-03-10,1489122000000,139.2,11.35,0.70352,0.04906528871715888,0.05173947144592782
2017-03-13,1489377600000,138.99,12.3,0.71737,0.0451638945576513,0.045306863838303305
2017-03-14,1489464000000,140.46,11.63,0.77115,0.04366366626339039,0.04573761220774358
2017-03-15,1489550400000,140.69,11.21,0.79137,0.08298214708618228,0.09101380355379603
2017-03-16,1489636800000,139.99,11.28,0.81352,0.07392172565556289,0.09008251096601198
2017-03-17,1489723200000,141.46,11.34,0.8348899999999999,0.09236076399602824,0.09489623937074555
2017-03-20,1489982400000,139.84,12.47,0.8440766670000001,0.11250316306881415,0.1264002029228449
2017-03-21,1490068800000,141.42,12.81,0.93904,0.1544213645075023,0.15595437012069063
2017-03-22,1490155200000,140.92,13.12,0.938813333,0.15723478450723624,0.15911204170391804
2017-03-23,1490241600000,140.64,12.96,0.939926667,0.16097831291171608,0.16108435769065568
2017-03-24,1490328000000,140.88,12.5,0.939183333,0.15599485973557942,0.15687280885804147
