Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,100-Straps,100-Straps-P,100-Straps-ROI
2014-09-30,1412049600000,240.240005,16.71,0.154,39.37848326131365,10.828815168662913,-1.9688141686629024,-18.181251946753854,10.798408632155514,-10.798408632155514,-100.0,21.627223800818424,-12.767222800818386,-59.033109928493204,32.45603896948134,-14.736036969481319,-45.40306653975159
2014-10-01,1412136000000,251.419998,16.16,0.1525,41.72501895227375,12.00618608571166,-11.726187085711658,-97.66787722594748,11.974674458136475,-11.974674458136475,-100.0,23.980860543848127,-23.700861543848106,-98.83240637053845,35.98704662955979,-35.427048629559785,-98.44389008699585
2014-10-02,1412222400000,255.210007,14.55,0.1565,41.937064920048826,12.249351424152195,-8.779365424152159,-71.67208385287876,12.216525837216652,-12.216525837216652,-100.0,24.465877261368853,-20.995891261368808,-85.81703830633094,36.71522868552104,-29.775256685520972,-81.09783801309426
2014-10-03,1412308800000,260.619995,15.46,0.152,42.289805575895365,12.613502889149865,-12.613502889149865,-100.0,12.580945274237793,-5.940946274237772,-47.22177980062554,25.194448163387666,-18.554449163387645,-73.64499132134516,37.807951052537526,-31.167952052537508,-82.43755925632377
2014-10-06,1412568000000,259.570007,17.2,0.152,41.79945329792807,12.417383756200778,-12.417383756200778,-100.0,12.384957309677956,-10.514962309677998,-84.90107835463677,24.802341065878736,-22.932346065878768,-92.46040930155351,37.21972482207951,-35.34972982207955,-94.97579574019139
2014-10-07,1412654400000,259.27999900000003,15.11,0.153,41.79225278662286,12.401480484866257,-12.401480484866257,-100.0,12.368877187077914,-0.8288831870778779,-6.7013616073723625,24.77035767194417,-13.230363671944106,-53.4120816791003,37.17183815681042,-25.631844156810388,-68.95500848971135
2014-10-08,1412740800000,257.01001,18.76,0.153,41.82137712600771,12.301451091394295,-12.301451091394295,-100.0,12.269133234548747,-3.9691302345487145,-32.35053494546795,24.57058432594304,-16.27058132594301,-66.21975737371288,36.87203541733734,-28.572032417337304,-77.4897075627744
2014-10-09,1412827200000,236.910004,21.24,0.1525,47.883934490878936,12.978563427365598,-7.1085684273655545,-54.77161218303233,12.948870404239855,-12.948870404239855,-100.0,25.92743383160545,-20.05743883160544,-77.35990750907051,38.905997258971055,-27.166007258970964,-69.82472927796998
2014-10-10,1412913600000,224.589996,24.64,0.1518,49.35216480413924,12.679786306340857,9.450218693659123,74.52979463016105,12.651766606625754,-12.651766606625754,-100.0,25.331552912966607,-3.201547912966628,-12.638577366205736,38.011339219307466,6.2486707806925,16.43896507997422
2014-10-13,1413172800000,227.059998,22.79,0.1527,46.49458773094123,12.079011255216345,8.950986744783663,74.103637753613,12.050515458508114,-12.050515458508114,-100.0,24.12952671372446,-3.0995287137244816,-12.845377161755614,36.2085379689408,5.8514580310592095,16.160437176664
