Datetime,Price,Timestamp,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI
2011-07-22,56.1857,1311307200000,17.52,0.75425,24.235839235121787,5.612495799807935,15.644004200192068,278.7352500241946,5.190309329772443,-5.190309329772443,-100.0,10.802805129580378,10.453694870419625,96.7683369738401
2011-07-25,56.9286,1311566400000,19.35,0.75475,24.247540300755677,5.689463398261463,12.667636601738538,222.650814584894,5.26141218003044,-5.26141218003044,-100.0,10.950875578291903,7.4062244217080995,67.6313448067073
2011-07-26,57.63,1311652800000,20.23,0.756,24.238460349430465,5.757829893655464,11.399270106344527,197.97858423892217,5.323789832331308,-5.323789832331308,-100.0,11.081619725986773,6.07548027401322,54.824839908249274
2011-07-27,56.0843,1311739200000,22.98,0.75775,24.353362482022227,5.629261482648512,13.129238517351485,233.23198891756408,5.20588877851505,-5.20588877851505,-100.0,10.835150261163562,7.923349738836436,73.1263484848577
2011-07-28,55.9743,1311825600000,23.74,0.76025,24.35538332673544,5.6193109002975214,13.450689099702489,239.3654549170846,5.195379794525753,-5.195379794525753,-100.0,10.814690694823273,8.255309305176734,76.33421554190494
2011-07-29,55.7828,1311912000000,25.25,0.75944,24.35012371914093,5.598721144405506,12.489878855594487,223.08449614560524,5.176688817624559,-5.176688817624559,-100.0,10.775409962030064,7.313190037969928,67.86925104232543
2011-08-01,56.6786,1312171200000,23.66,0.76306,24.369059371331293,5.6938058312410185,12.414694168758974,218.03859381086545,5.262960002706394,-5.262960002706394,-100.0,10.956765833947411,7.151734166052581,65.27231004512592
2011-08-02,55.5586,1312257600000,24.79,0.765,24.38674331958341,5.585663201242208,13.184236798757796,236.03708859183854,5.162261487671827,-5.162261487671827,-100.0,10.747924688914036,8.02197531108597,74.637435070235
2011-08-03,56.0814,1312344000000,23.38,0.76611,24.357324178637928,5.632005108253767,9.96509489174623,176.93689370313726,5.204001477401807,-5.204001477401807,-100.0,10.836006585655575,4.761093414344423,43.93771244701009
2011-08-04,53.91,1312430400000,31.66,0.76472,24.594732376244632,5.46405639547682,10.043043604523188,183.8019756318196,5.053368152450243,-5.053368152450243,-100.0,10.517424547927064,4.9896754520729445,47.44198952258124
2011-08-05,53.3743,1312516800000,32.0,0.76667,24.596216430049594,5.41055135017448,13.513648649825528,249.76472405884726,5.002911228322688,-5.002911228322688,-100.0,10.413462578497167,8.510737421502839,81.72821823047332
2011-08-08,50.4586,1312776000000,48.0,0.76994,25.007641420504328,5.197576276128711,16.155223723871302,310.8222537891089,4.810567112314544,-4.810567112314544,-100.0,10.008143388443255,11.344656611556754,113.35425734064539
2011-08-09,53.43,1312862400000,35.06,0.76661,25.4328417593537,5.592364449527143,12.406135550472856,221.8406125430872,5.18433073845554,-5.18433073845554,-100.0,10.776695187982684,7.221804812017316,67.0131676366842
2011-08-10,51.9557,1312948800000,42.99,0.76961,25.551224637905566,5.463001908595455,14.691298091404546,268.92353942416423,5.06468037305558,-5.06468037305558,-100.0,10.527682281651035,9.626617718348964,91.4409977505442
2011-08-11,53.3857,1313035200000,39.0,0.77283,25.63651087209125,5.632087486815856,14.411512513184142,255.88225585841892,5.221096956152518,-5.221096956152518,-100.0,10.853184442968374,9.190415557031624,84.67943768325034
2011-08-12,53.8557,1313121600000,36.36,0.77594,25.459786698563608,5.6449396239559375,4.856460376044065,86.03210485076346,5.2286687998695385,-5.2286687998695385,-100.0,10.873608423825477,-0.37220842382547303,-3.423044212351039
2011-08-15,54.7728,1313380800000,31.87,0.77761,25.491789209137426,5.748391500738085,2.3188084992619236,40.338388555549706,5.3241244400733665,-5.3241244400733665,-100.0,11.072515940811451,-3.0053159408114443,-27.142123406066634
2011-08-16,54.3543,1313467200000,32.85,0.78017,25.466991881465653,5.699796680988271,4.2073033190117215,73.81497191023013,5.277390623876312,-5.277390623876312,-100.0,10.977187304864582,-1.0700873048645896,-9.748283190816798
2011-08-17,54.3486,1313553600000,31.58,0.78439,25.461263985876883,5.6990227089864405,5.419477291013564,95.09485341175991,5.274385309307753,-5.274385309307753,-100.0,10.973408018294194,0.14509198170581072,1.322214406535529
