Datetime,Timestamp,Price,VIX,1-Year-LIBOR,1-Year-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,97-Calls,97-Calls-P,97-Calls-ROI,97-Puts,97-Puts-P,97-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,100-Strangles,100-Strangles-P,100-Strangles-ROI
2015-10-04,1443931200000,238.6874,20.94,0.8521,66.68243663275797,63.092639716549215,310.5574602834507,492.2245473935869,61.06742506197467,-61.06742506197467,-100.0,65.81114673883057,314.9995752611693,478.64167526397176,56.68606652389329,-56.68606652389329,-100.0,60.49519036572606,305.99428763427386,505.8158934361118,65.56984127151428,-65.56984127151428,-100.0,117.18125688961935,249.3082211103806,212.7543497380475
2015-10-05,1444017600000,240.5872,19.54,0.8306,66.66560755548954,63.56040908320529,305.2273909167947,480.21621528148046,61.5703678821184,-61.5703678821184,-100.0,66.30051636113245,309.7048996388675,467.12290738722925,57.152560396078215,-57.152560396078215,-100.0,60.94237086597464,300.62781313402536,493.2985193424302,66.11024442885518,-66.11024442885518,-100.0,118.09493126205285,243.4752527379472,206.16909645146006
2015-10-06,1444104000000,246.4218,19.4,0.83635,66.65269901407093,65.09514846810215,299.3680515318979,459.89303131952124,63.04279413969698,-63.04279413969698,-100.0,67.90198704735123,303.95386695264875,447.6361888212307,58.518549348798324,-58.518549348798324,-100.0,62.4133624643333,294.6571835356667,472.1059271627151,67.69209150607597,-67.69209150607597,-100.0,120.93191181313162,236.13863418686842,195.26577447295995
2015-10-07,1444190400000,243.2664,19.4,0.83985,66.63972676534837,64.25291429620971,303.38068570379033,472.1664208181865,62.218396841906156,-62.218396841906156,-100.0,67.02405783830693,307.907534161693,459.3985265775888,57.752583907632506,-57.752583907632506,-100.0,61.6052464898161,298.73036151018385,484.91058559365837,66.80768551188345,-66.80768551188345,-100.0,119.35783039744861,240.97777760255138,201.89523954994957
2015-10-08,1444276800000,242.6905,18.4,0.83985,66.4085388245159,63.889919497755564,309.90838050224437,485.06616214022836,61.860218485845756,-61.860218485845756,-100.0,66.65802759073505,314.42098740926485,471.6926059374836,57.40850260918258,-57.40850260918258,-100.0,61.245470984379274,305.2721140156208,498.44030768165817,66.43559394211218,-66.43559394211218,-100.0,118.65397359356186,247.86361140643808,208.89617422798818
2015-10-09,1444363200000,244.3213,17.42,0.84085,66.33705979750529,64.25449055808785,308.02050944191217,479.3758487018943,62.208727858295795,-62.208727858295795,-100.0,67.04231127413018,312.5623277258698,466.216515787813,57.72828245533191,-57.72828245533191,-100.0,61.59130857889407,303.354052421106,492.527370209274,66.81381199810825,-66.81381199810825,-100.0,119.31959103422598,245.62576996577405,205.85535689216204
2015-10-10,1444449600000,245.3313,17.42,0.84475,66.32627702388942,64.51372310572536,304.77877689427464,472.4247217833047,62.45001580489615,-62.45001580489615,-100.0,67.3132894006048,309.33914959939517,459.5513788642986,57.951554318800476,-57.951554318800476,-100.0,61.83933082842414,300.09323017157584,485.2789093145224,67.07365130857008,-67.07365130857008,-100.0,119.79088514722461,242.14167585277534,202.13697858161743
2015-10-11,1444536000000,247.5253,17.08,0.84475,66.3332744654703,65.09718191692346,304.80001808307657,468.22306144075515,63.01501886333044,-63.01501886333044,-100.0,67.92167582963796,309.40128317036203,455.5265743831269,58.47621866765274,-58.47621866765274,-100.0,62.39896667313069,300.0724743268693,480.89333898550285,67.68009772792989,-67.68009772792989,-100.0,120.87518534078342,241.5962556592166,199.87250069407074
2015-10-12,1444622400000,245.5856,16.17,0.8395,66.16743956311358,64.42911804269006,329.3590819573098,511.1960119321826,62.37605671323975,-62.37605671323975,-100.0,67.23396628788804,333.9218017121119,496.6564076887827,57.87492879832122,-57.87492879832122,-100.0,61.74991068163799,324.670721318362,525.7833051650168,67.00282551230416,-67.00282551230416,-100.0,119.6248394799592,266.7957925200408,223.0270850768725
2015-10-13,1444708800000,249.9352,17.67,0.835,66.11115743613674,65.5131395296672,319.6329604703328,487.89137990492594,63.43486946236619,-63.43486946236619,-100.0,68.36848528886786,324.27567071113214,474.30577018200006,58.854507323585956,-58.854507323585956,-100.0,62.785783601045544,314.8622603989545,501.4865505217828,68.14322143172552,-68.14322143172552,-100.0,121.6402909246315,256.00775307536856,210.4629569112025
