Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straddles,100-Straddles-P,100-Straddles-ROI,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Straddles,110-Straddles-P,110-Straddles-ROI
2014-09-25,1411617600000,100.75,14.85,0.1545,23.732062760480183,2.740369557244442,5.519630442755563,201.41920012809464,2.7275764996701497,-2.7275764996701497,-100.0,5.467946056914592,2.792053943085413,51.06220716195016,0.26409054698810586,-0.26409054698810586,-100.0,10.325018183656383,-8.510018183656385,-82.42133846434298,10.589108730644488,-8.77410873064449,-82.85974725382265
2014-09-26,1411704000000,100.11,15.98,0.1535,23.799548777937684,2.7306437690590712,5.989356230940928,219.33861526744468,2.718014249335255,-2.718014249335255,-100.0,5.448658018394326,3.271341981605673,60.03940732859042,0.2654584954836636,-0.2654584954836636,-100.0,10.262566023787457,-8.971566023787444,-87.42030017631437,10.52802451927112,-9.23702451927111,-87.73749056494988
2014-09-29,1411963200000,100.75,16.31,0.1515,23.62415641745906,2.7278223473113314,6.222177652688671,228.10054543403604,2.7152776831562804,-2.7152776831562804,-100.0,5.443100030467613,3.506899969532391,64.42835791924838,0.2591935426228815,-0.2591935426228815,-100.0,10.320394412052336,-9.195394412052336,-89.09925381644129,10.579587954675217,-9.454587954675217,-89.3663155425363
2014-09-30,1412049600000,99.18,16.71,0.154,23.73559554551948,2.6980466622428807,9.371953337757112,347.36068389440766,2.685493714240728,-2.685493714240728,-100.0,5.383540376483609,6.6864596235163845,124.20190350432199,0.2601296771799735,1.891870322820013,727.2796950080797,10.164321434377628,-10.164321434377628,-100.0,10.424451111557602,-8.272451111557615,-79.35622722990124
2014-10-01,1412136000000,99.9,16.16,0.1525,23.839279789205523,2.7294124064365164,10.190587593563473,373.36195767015516,2.7168914788261134,-2.7168914788261134,-100.0,5.44630388526263,7.473696114737357,137.22510297232458,0.2666958685974574,2.663304131402521,998.6296920941173,10.24292284822603,-10.24292284822603,-100.0,10.509618716823487,-7.579618716823509,-72.12077736645459
2014-10-02,1412222400000,99.62,14.55,0.1565,23.850743270854274,2.723227202610296,11.836772797389704,434.6597590551313,2.7104138924702923,-2.7104138924702923,-100.0,5.4336410950805885,9.126358904919414,167.9602819770719,0.2664953751328607,4.331504624867138,1625.358272243065,10.214400733978877,-10.214400733978877,-100.0,10.480896109111738,-5.882896109111739,-56.12970539797019
2014-10-03,1412308800000,99.62,15.46,0.152,23.740802088937983,2.7105292949754234,11.659470705024571,430.1547571036412,2.6980843956593006,-2.6980843956593006,-100.0,5.4086136906347235,8.961386309365269,165.68730587807258,0.2615038345846994,4.1464961654152885,1585.6349380116892,10.20981444533696,-10.20981444533696,-100.0,10.47131827992166,-6.063318279921672,-57.904058666117
2014-10-06,1412568000000,98.75,17.2,0.152,23.84289321416297,2.698380827557984,14.021619172442017,519.6308478492818,2.686044611863672,-2.686044611863672,-100.0,5.384425439421656,11.335574560578346,210.52523965854942,0.2637845745521297,6.581215425447869,2494.920499662225,10.125214737288372,-10.125214737288372,-100.0,10.388999311840502,-3.5439993118405173,-34.112999774688284
2014-10-07,1412654400000,100.8,15.11,0.153,24.57276250224775,2.8385274259768285,11.031472574023175,388.6336440884271,2.825852277759701,-2.825852277759701,-100.0,5.664379703736527,8.205620296263477,144.86352831980187,0.3036983206791284,3.486301679320878,1147.9489486556365,10.369755657640283,-10.369755657640283,-100.0,10.673453978319412,-6.8834539783194195,-64.49134452916105
2014-10-08,1412740800000,101.02,18.76,0.153,24.30847576912365,2.8142076898033466,12.47579231019666,443.31455547506,2.8015048775722557,-2.8015048775722557,-100.0,5.615712567375604,9.674287432624405,172.27176990551533,0.2916410087179884,4.896358991282014,1678.8993471136653,10.379667915263797,-10.379667915263797,-100.0,10.671308923981785,-5.483308923981783,-51.38365839694758
